title,imdb,Genre,year,duration,certificate,description,Director,Stars
The Lion King,85,Animation,1994,88,G,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.","Directors: Roger Allers, Rob Minkoff "," Stars: Matthew Broderick, Jeremy Irons, James Earl Jones, Whoopi Goldberg"
The Usual Suspects,85,Crime,1995,106,R,The sole survivor of a pier shoot-out tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup.,Director: Bryan Singer ," Stars: Kevin Spacey, Gabriel Byrne, Chazz Palminteri, Stephen Baldwin"
The Pianist,85,Biography,2002,150,R,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.,Director: Roman Polanski ," Stars: Adrien Brody, Thomas Kretschmann, Frank Finlay, Emilia Fox"
Casablanca,85,Drama,1942,102,PG,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,Director: Michael Curtiz ," Stars: Humphrey Bogart, Ingrid Bergman, Paul Henreid, Claude Rains"
The Intouchables,85,Biography,2011,112,R,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.","Directors: Olivier Nakache, Éric Toledano "," Stars: François Cluzet, Omar Sy, Anne Le Ny, Audrey Fleurot"
Grave of the Fireflies,85,Animation,1988,89,Not Rated,A young boy and his little sister struggle to survive in Japan during World War II.,Director: Isao Takahata ," Stars: Tsutomu Tatsumi, Ayano Shiraishi, Akemi Yamaguchi, Yoshiko Shinohara"
Once Upon a Time in the West,85,Western,1968,165,PG-13,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,Director: Sergio Leone ," Stars: Henry Fonda, Charles Bronson, Claudia Cardinale, Jason Robards"
Cinema Paradiso,85,Drama,1988,155,R,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.,Director: Giuseppe Tornatore ," Stars: Philippe Noiret, Enzo Cannavale, Antonella Attili, Isa Danieli"
Modern Times,85,Comedy,1936,87,G,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,Director: Charles Chaplin ," Stars: Charles Chaplin, Paulette Goddard, Henry Bergman, Tiny Sandford"
City Lights,85,Comedy,1931,87,G,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",Director: Charles Chaplin ," Stars: Charles Chaplin, Virginia Cherrill, Florence Lee, Harry Myers"
96,85,Drama,II 2018,158,Not Rated,Two high school sweethearts meet at a reunion after 22 years and reminisce about their past.,Director: C. Prem Kumar ," Stars: Vijay Sethupathi, Adithya Bhaskar, Trisha Krishnan, Gouri Kishan"
Raiders of the Lost Ark,84,Action,1981,115,PG,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before the Nazis can obtain its awesome powers.",Director: Steven Spielberg ," Stars: Harrison Ford, Karen Allen, Paul Freeman, John Rhys-Davies"
Joker,84,Crime,I 2019,122,R,"During the 1980's, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure.",Director: Todd Phillips ," Stars: Joaquin Phoenix, Robert De Niro, Zazie Beetz, Frances Conroy"
The Dark Knight Rises,84,Action,2012,164,PG-13,"Eight years after the Joker's reign of chaos, Batman is coerced out of exile with the assistance of the mysterious Selina Kyle in order to defend Gotham City from the vicious guerrilla terrorist Bane.",Director: Christopher Nolan ," Stars: Christian Bale, Tom Hardy, Anne Hathaway, Gary Oldman"
Oldboy,84,Action,2003,120,R,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days.",Director: Park Chan-wook ," Stars: Choi Min-sik, Yoo Ji-tae, Kang Hye-jeong, Kim Byeong-Ok"
Avengers: Endgame,84,Action,2019,181,PG-13,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.","Directors: Anthony Russo, Joe Russo "," Stars: Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth"
Spider-Man: Into the Spider-Verse,84,Animation,2018,117,PG,Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.,"Directors: Bob Persichetti, Peter Ramsey, Rodney Rothman "," Stars: Shameik Moore, Jake Johnson, Hailee Steinfeld, Mahershala Ali"
The Shining,84,Drama,1980,146,R,"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.",Director: Stanley Kubrick ," Stars: Jack Nicholson, Shelley Duvall, Danny Lloyd, Scatman Crothers"
Aliens,84,Action,1986,137,R,"Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring.",Director: James Cameron ," Stars: Sigourney Weaver, Michael Biehn, Carrie Henn, Paul Reiser"
Amadeus,84,Biography,1984,160,R,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was deeply jealous of Mozart's talent and claimed to have murdered him.",Director: Milos Forman ," Stars: F. Murray Abraham, Tom Hulce, Elizabeth Berridge, Roy Dotrice"
Memento,84,Mystery,2000,113,R,A man with short-term memory loss attempts to track down his wife's murderer.,Director: Christopher Nolan ," Stars: Guy Pearce, Carrie-Anne Moss, Joe Pantoliano, Mark Boone Junior"
Avengers: Infinity War,84,Action,2018,149,PG-13,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,"Directors: Anthony Russo, Joe Russo "," Stars: Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans"
Apocalypse Now,84,Drama,1979,147,R,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,Director: Francis Ford Coppola ," Stars: Martin Sheen, Marlon Brando, Robert Duvall, Frederic Forrest"
Come and See,84,Drama,1985,142,Not Rated,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II.",Director: Elem Klimov ," Stars: Aleksey Kravchenko, Olga Mironova, Liubomiras Laucevicius, Vladas Bagdonas"
Coco,84,Animation,I 2017,105,PG,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.","Directors: Lee Unkrich, Adrian Molina "," Stars: Anthony Gonzalez, Gael García Bernal, Benjamin Bratt, Alanna Ubach"
Your Name.,84,Animation,2016,106,PG,"Two teenagers share a profound, magical connection upon discovering they are swapping bodies. Things manage to become even more complicated when the boy and girl decide to meet in person.",Director: Makoto Shinkai ," Stars: Ryunosuke Kamiki, Mone Kamishiraishi, Ryo Narita, Aoi Yûki"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,84,Comedy,1964,95,PG,"An insane American general orders a bombing attack on the Soviet Union, triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop.",Director: Stanley Kubrick ," Stars: Peter Sellers, George C. Scott, Sterling Hayden, Keenan Wynn"
3 Idiots,84,Comedy,2009,170,PG-13,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".",Director: Rajkumar Hirani ," Stars: Aamir Khan, Madhavan, Mona Singh, Sharman Joshi"
The Lives of Others,84,Drama,2006,137,R,"In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives.",Director: Florian Henckel von Donnersmarck ," Stars: Ulrich Mühe, Martina Gedeck, Sebastian Koch, Ulrich Tukur"
WALL·E,84,Animation,2008,98,G,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.",Director: Andrew Stanton ," Stars: Ben Burtt, Elissa Knight, Jeff Garlin, Fred Willard"
Capernaum,84,Drama,2018,126,R,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.",Director: Nadine Labaki ," Stars: Zain Al Rafeea, Yordanos Shiferaw, Boluwatife Treasure Bankole, Kawsar Al Haddad"
Sunset Blvd.,84,Drama,1950,110,Passed,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,Director: Billy Wilder ," Stars: William Holden, Gloria Swanson, Erich von Stroheim, Nancy Olson"
Paths of Glory,84,Drama,1957,88,Approved,"After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them.",Director: Stanley Kubrick ," Stars: Kirk Douglas, Ralph Meeker, Adolphe Menjou, George Macready"
Das Boot,84,Drama,1981,149,R,A German U-boat stalks the frigid waters of the North Atlantic as its young crew experience the sheer terror and claustrophobic life of a submariner in World War II.,Director: Wolfgang Petersen ," Stars: Jürgen Prochnow, Herbert Grönemeyer, Klaus Wennemann, Hubertus Bengsch"
Witness for the Prosecution,84,Crime,1957,116,Approved,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.,Director: Billy Wilder ," Stars: Tyrone Power, Marlene Dietrich, Charles Laughton, Elsa Lanchester"
The Great Dictator,84,Comedy,1940,125,G,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,Director: Charles Chaplin ," Stars: Charles Chaplin, Paulette Goddard, Jack Oakie, Reginald Gardiner"
High and Low,84,Crime,1963,143,Not Rated,An executive of a Yokohama shoe company becomes a victim of extortion when his chauffeur's son is kidnapped by mistake and held for ransom.,Director: Akira Kurosawa ," Stars: Toshirô Mifune, Yutaka Sada, Tatsuya Nakadai, Kyôko Kagawa"
Kaithi,84,Action,2019,145,Not Rated,"Dilli, an ex-convict, endeavours to meet his daughter for the first time after leaving prison. However, his attempts are interrupted due to a drug raid planned by Inspector Bejoy.",Director: Lokesh Kanagaraj ," Stars: Karthi, Narain, Arjun Das, George Maryan"
Sardar Udham,84,Biography,2021,164,TV-MA,"A biopic detailing the 2 decades that Punjabi Sikh revolutionary, Udham Singh, spent planning the assassination of the man responsible for the Jallianwala Bagh massacre.",Director: Shoojit Sircar ," Stars: Vicky Kaushal, Shaun Scott, Stephen Hogan, Amol Parashar"
Asuran,84,Action,2019,141,Not Rated,"The teenage son of a farmer from an underprivileged caste kills a rich, upper caste landlord. How the pacifist farmer saves his hot-blooded son is the rest of the story.",Director: Vetrimaaran ," Stars: Dhanush, Manju Warrier, Prakash Raj, Pasupathy"
Drishyam 2,84,Crime,2021,152,13+,A gripping tale of an investigation and a family which is threatened by it. Will Georgekutty be able to protect his family this time?,Director: Jeethu Joseph ," Stars: Mohanlal, Meena, Ansiba, Esther Anil"
Inglourious Basterds,83,Adventure,2009,153,R,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",Director: Quentin Tarantino ," Stars: Brad Pitt, Diane Kruger, Eli Roth, Mélanie Laurent"
Top Gun: Maverick,83,Action,2022,130,PG-13,"After thirty years, Maverick is still pushing the envelope as a top naval aviator, but must confront ghosts of his past when he leads TOP GUN's elite graduates on a mission that demands the ultimate sacrifice from those chosen to fly it.",Director: Joseph Kosinski ," Stars: Tom Cruise, Jennifer Connelly, Miles Teller, Val Kilmer"
Heat,83,Action,1995,170,R,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a clue at their latest heist.,Director: Michael Mann ," Stars: Al Pacino, Robert De Niro, Val Kilmer, Jon Voight"
American Beauty,83,Drama,1999,122,R,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,Director: Sam Mendes ," Stars: Kevin Spacey, Annette Bening, Thora Birch, Wes Bentley"
Good Will Hunting,83,Drama,1997,126,R,"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.",Director: Gus Van Sant ," Stars: Robin Williams, Matt Damon, Ben Affleck, Stellan Skarsgård"
Requiem for a Dream,83,Drama,2000,102,R,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,Director: Darren Aronofsky ," Stars: Ellen Burstyn, Jared Leto, Jennifer Connelly, Marlon Wayans"
