title,imdb,Genre,year,duration,certificate,description,Director,Stars
Toy Story 2,79,Animation,1999,92,G,"When Woody is stolen by a toy collector, Buzz and his friends set out on a rescue mission to save Woody before he becomes a museum toy property with his roundup gang Jessie, Prospector, and Bullseye.","Directors: John Lasseter, Ash Brannon, Lee Unkrich "," Stars: Tom Hanks, Tim Allen, Joan Cusack, Kelsey Grammer"
Nosferatu,79,Fantasy,1922,94,Not Rated,Vampire Count Orlok expresses interest in a new residence and real estate agent Hutter's wife.,Director: F.W. Murnau ," Stars: Max Schreck, Alexander Granach, Gustav von Wangenheim, Greta Schröder"
Let the Right One In,79,Drama,2008,114,R,"Oskar, an overlooked and bullied boy, finds love and revenge through Eli, a beautiful but peculiar girl.",Director: Tomas Alfredson ," Stars: Kåre Hedebrant, Lina Leandersson, Per Ragnar, Henrik Dahl"
Ghost in the Shell,79,Animation,1995,83,TV-MA,A cyborg policewoman and her partner hunt a mysterious and powerful hacker called the Puppet Master.,Director: Mamoru Oshii ," Stars: Atsuko Tanaka, Iemasa Kayumi, Akio Ôtsuka, Kôichi Yamadera"
"Crouching Tiger, Hidden Dragon",79,Action,2000,120,PG-13,A young Chinese warrior steals a sword from a famed swordsman and then escapes into a world of romantic adventure with a mysterious man in the frontier of the nation.,Director: Ang Lee ," Stars: Chow Yun-Fat, Michelle Yeoh, Ziyi Zhang, Chang Chen"
Before Midnight,79,Drama,2013,109,R,We meet Jesse and Celine nine years on in Greece. Almost two decades have passed since their first meeting on that train bound for Vienna.,Director: Richard Linklater ," Stars: Ethan Hawke, Julie Delpy, Seamus Davey-Fitzpatrick, Ariane Labed"
A Fistful of Dollars,79,Action,1964,99,R,"A wandering gunfighter plays two rival families against each other in a town torn apart by greed, pride, and revenge.",Director: Sergio Leone ," Stars: Clint Eastwood, Gian Maria Volontè, Marianne Koch, Wolfgang Lukschy"
The Ten Commandments,79,Adventure,1956,220,G,"Moses, raised as a prince of Egypt in the Pharaoh's household, learns of his true heritage as a Hebrew and his divine mission as the deliverer of his people from slavery.",Director: Cecil B. DeMille ," Stars: Charlton Heston, Yul Brynner, Anne Baxter, Edward G. Robinson"
The Wrestler,79,Drama,2008,109,R,"A faded professional wrestler must retire, but finds his quest for a new life outside the ring a dispiriting struggle.",Director: Darren Aronofsky ," Stars: Mickey Rourke, Marisa Tomei, Evan Rachel Wood, Mark Margolis"
Doctor Zhivago,79,Drama,1965,197,PG-13,"The life of a Russian physician and poet who, although married to another, falls in love with a political activist's wife and experiences hardship during World War I and then the October Revolution.",Director: David Lean ," Stars: Omar Sharif, Julie Christie, Geraldine Chaplin, Rod Steiger"
Bound by Honor,79,Crime,1993,180,R,"Based on the true life experiences of poet Jimmy Santiago Baca, the film focuses on step-brothers Paco and Cruz, and their bi-racial cousin Miklo.",Director: Taylor Hackford ," Stars: Damian Chapa, Jesse Borrego, Benjamin Bratt, Enrique Castillo"
King Kong,79,Adventure,1933,100,Passed,"A film crew goes to a tropical island for a location shoot, where they capture a colossal ape who takes a shine to their blonde starlet, and bring him back to New York City.","Directors: Merian C. Cooper, Ernest B. Schoedsack "," Stars: Fay Wray, Robert Armstrong, Bruce Cabot, Frank Reicher"
A Streetcar Named Desire,79,Drama,1951,122,PG,Disturbed Blanche DuBois moves in with her sister in New Orleans and is tormented by her brutish brother-in-law while her reality crumbles around her.,Director: Elia Kazan ," Stars: Vivien Leigh, Marlon Brando, Kim Hunter, Karl Malden"
The Wild Bunch,79,Action,1969,135,R,"An aging group of outlaws look for one last big score as the ""traditional"" American West is disappearing around them.",Director: Sam Peckinpah ," Stars: William Holden, Ernest Borgnine, Robert Ryan, Edmond O'Brien"
Wings of Desire,79,Drama,1987,128,PG-13,"An angel tires of his purely ethereal life of merely overseeing the human activity of Berlin's residents, and longs for the tangible joys of physical existence when he falls in love with a mortal.",Director: Wim Wenders ," Stars: Bruno Ganz, Solveig Dommartin, Otto Sander, Curt Bois"
The Killing,79,Crime,1956,84,Approved,Crook Johnny Clay assembles a five-man team to plan and execute a daring racetrack robbery.,Director: Stanley Kubrick ," Stars: Sterling Hayden, Coleen Gray, Vince Edwards, Jay C. Flippen"
Harold and Maude,79,Comedy,1971,91,PG,"Young, rich, and obsessed with death, Harold finds himself changed forever when he meets lively septuagenarian Maude at a funeral.",Director: Hal Ashby ," Stars: Ruth Gordon, Bud Cort, Vivian Pickles, Cyril Cusack"
The Manchurian Candidate,79,Drama,1962,126,PG-13,An American POW in the Korean War is brainwashed as an unwitting assassin for an international Communist conspiracy.,Director: John Frankenheimer ," Stars: Frank Sinatra, Laurence Harvey, Janet Leigh, Angela Lansbury"
Togo,79,Adventure,2019,113,PG,"The story of Togo, the sled dog who led the 1925 serum run despite being considered too small and weak to lead such an intense race.",Director: Ericson Core ," Stars: Willem Dafoe, Julianne Nicholson, Christopher Heyerdahl, Richard Dormer"
Notorious,79,Drama,1946,102,Not Rated,The daughter of a convicted Nazi spy is asked by American agents to gather information on a ring of Nazi scientists in South America. How far will she have to go to ingratiate herself with them?,Director: Alfred Hitchcock ," Stars: Cary Grant, Ingrid Bergman, Claude Rains, Louis Calhern"
Charade,79,Comedy,1963,113,Passed,Romance and suspense ensue in Paris as a woman is pursued by several men who want a fortune her murdered husband had stolen. Whom can she trust?,Director: Stanley Donen ," Stars: Cary Grant, Audrey Hepburn, Walter Matthau, James Coburn"
Sing Street,79,Comedy,2016,106,PG-13,A boy growing up in Dublin during the 1980s escapes his strained family life by starting a band to impress the mysterious girl he likes.,Director: John Carney ," Stars: Ferdia Walsh-Peelo, Aidan Gillen, Maria Doyle Kennedy, Jack Reynor"
All the President's Men,79,Drama,1976,138,PG,"""The Washington Post"" reporters Bob Woodward and Carl Bernstein uncover the details of the Watergate scandal that leads to President Richard Nixon's resignation.",Director: Alan J. Pakula ," Stars: Dustin Hoffman, Robert Redford, Jack Warden, Martin Balsam"
Shoplifters,79,Crime,2018,121,R,"On the margins of Tokyo, a dysfunctional band of outsiders are united by loyalty, a penchant for petty theft and playful grifting. When the young son is arrested, secrets are exposed that upend their tenuous, below-the-radar existence.",Director: Hirokazu Koreeda ," Stars: Lily Franky, Sakura Ando, Kirin Kiki, Mayu Matsuoka"
My Name Is Khan,79,Adventure,2010,165,PG-13,An Indian Muslim man with Asperger's syndrome takes a challenge to speak to the President of the United States seriously and embarks on a cross-country journey.,Director: Karan Johar ," Stars: Shah Rukh Khan, Kajol, Sheetal Menon, Katie Amanda Keane"
Being There,79,Comedy,1979,130,PG,"After the death of his employer forces him out of the only home he's ever known, a simpleminded, sheltered gardener becomes an unlikely trusted advisor to a powerful tycoon and an insider in Washington politics.",Director: Hal Ashby ," Stars: Peter Sellers, Shirley MacLaine, Melvyn Douglas, Jack Warden"
Once Were Warriors,79,Crime,1994,102,R,A family descended from Maori warriors is bedeviled by a violent father and the societal problems of being treated as outcasts.,Director: Lee Tamahori ," Stars: Rena Owen, Temuera Morrison, Mamaengaroa Kerr-Bell, Julian Arahanga"
The Raid 2,79,Action,2014,150,R,"Only a short time after the first raid, Rama goes undercover with the thugs of Jakarta and plans to bring down the syndicate and uncover the corruption within his police force.",Director: Gareth Evans ," Stars: Iko Uwais, Yayan Ruhian, Arifin Putra, Oka Antara"
Strangers on a Train,79,Crime,1951,101,PG,A psychopathic man tries to forcibly persuade a tennis star to agree to his theory that two strangers can get away with murder by submitting to his plan to kill the other's most-hated person.,Director: Alfred Hitchcock ," Stars: Farley Granger, Robert Walker, Ruth Roman, Leo G. Carroll"
A Christmas Story,79,Comedy,1983,93,PG,"In the 1940s, a young boy named Ralphie Parker attempts to convince his parents, teacher, and Santa Claus that a Red Ryder Range 200 Shot BB gun really is the perfect Christmas gift.",Director: Bob Clark ," Stars: Peter Billingsley, Melinda Dillon, Darren McGavin, Scott Schwartz"
Dancer in the Dark,79,Crime,2000,140,R,An Eastern European US immigrant with a love for musicals has to cope with the gradual loss of her vision.,Director: Lars von Trier ," Stars: Björk, Catherine Deneuve, David Morse, Peter Stormare"
Hero,79,Action,2002,120,PG-13,"A defense officer, Nameless, was summoned by the King of Qin regarding his success of terminating three warriors.",Director: Yimou Zhang ," Stars: Jet Li, Tony Leung Chiu-wai, Maggie Cheung, Ziyi Zhang"
The Big Sleep,79,Crime,1946,114,Passed,"Private detective Philip Marlowe is hired by a wealthy family. Before the complex case is over, he's seen murder, blackmail and what might be love.",Director: Howard Hawks ," Stars: Humphrey Bogart, Lauren Bacall, John Ridgely, Martha Vickers"
Short Term 12,79,Drama,2013,96,R,A 20-something supervising staff member of a residential treatment facility navigates the troubled waters of that world alongside her co-worker and longtime boyfriend.,Director: Destin Daniel Cretton ," Stars: Brie Larson, Frantz Turner, John Gallagher Jr., Kaitlyn Dever"
Three Colors: Blue,79,Drama,1993,94,R,A woman struggles to find a way to live her life after the death of her husband and child.,Director: Krzysztof Kieslowski ," Stars: Juliette Binoche, Zbigniew Zamachowski, Julie Delpy, Benoît Régent"
Rope,79,Crime,1948,80,Approved,Two men attempt to prove they committed the perfect crime by hosting a dinner party after strangling their former classmate to death.,Director: Alfred Hitchcock ," Stars: James Stewart, John Dall, Farley Granger, Dick Hogan"
The Artist,79,Comedy,I 2011,100,PG-13,An egomaniacal film star develops a relationship with a young dancer against the backdrop of Hollywood's silent era.,Director: Michel Hazanavicius ," Stars: Jean Dujardin, Bérénice Bejo, John Goodman, James Cromwell"
Arsenic and Old Lace,79,Comedy,1944,118,Not Rated,A Brooklyn writer of books on the futility of marriage risks his reputation after he decides to tie the knot. Things get even more complicated when he learns on his wedding day that his beloved maiden aunts are habitual murderers.,Director: Frank Capra ," Stars: Cary Grant, Priscilla Lane, Raymond Massey, Jack Carson"
The Lion in Winter,79,Biography,1968,134,PG,"1183 A.D.: King Henry II's three sons all want to inherit the throne, but he won't commit to a choice. When he allows his imprisoned wife Eleanor of Aquitaine out for a Christmas visit, they all variously plot to force him into a decision.",Director: Anthony Harvey ," Stars: Peter O'Toole, Katharine Hepburn, Anthony Hopkins, John Castle"
Patton,79,Biography,1970,172,GP,The World War II phase of the career of controversial American general George S. Patton.,Director: Franklin J. Schaffner ," Stars: George C. Scott, Karl Malden, Stephen Young, Michael Strong"
Cat on a Hot Tin Roof,79,Drama,1958,108,Not Rated,Brick is an alcoholic ex-football player who drinks his days away and resists the affections of his wife. A reunion with his terminal father jogs a host of memories and revelations for both father and son.,Director: Richard Brooks ," Stars: Elizabeth Taylor, Paul Newman, Burl Ives, Jack Carson"
A Taxi Driver,79,Action,2017,137,Not Rated,"A widowed father and taxi driver who drives a German reporter from Seoul to Gwangju to cover the 1980 uprising, soon finds himself regretting his decision after being caught in the violence around him.",Director: Hun Jang ," Stars: Song Kang-ho, Thomas Kretschmann, Yoo Hae-jin, Ryu Jun-Yeol"
Talk to Her,79,Drama,2002,112,R,Two men share an odd friendship while they care for two women who are both in deep comas.,Director: Pedro Almodóvar ," Stars: Rosario Flores, Javier Cámara, Darío Grandinetti, Leonor Watling"
Mildred Pierce,79,Crime,1945,111,Approved,A hard-working mother inches towards disaster as she divorces her husband and starts a successful restaurant business to support her spoiled daughter.,Director: Michael Curtiz ," Stars: Joan Crawford, Jack Carson, Zachary Scott, Eve Arden"
Head-On,79,Drama,2004,121,R,"With the intention to break free from the strict familial restrictions, a suicidal young woman sets up a marriage of convenience with a forty-year-old addict, an act that will lead to an outburst of envious love.",Director: Fatih Akin ," Stars: Birol Ünel, Sibel Kekilli, Güven Kiraç, Zarah Jane McKenzie"
3-Iron,79,Crime,2004,88,R,A transient young man breaks into empty homes to partake of the vacationing residents' lives for a few days.,Director: Kim Ki-duk ," Stars: Lee Seung-yun, Hee Jae, Hyuk-ho Kwon, Jin-mo Joo"
The Philadelphia Story,79,Comedy,1940,112,Not Rated,"When a rich woman's ex-husband and a tabloid-type reporter turn up just before her planned remarriage, she begins to learn the truth about herself.",Director: George Cukor ," Stars: Cary Grant, Katharine Hepburn, James Stewart, Ruth Hussey"
In a Lonely Place,79,Drama,1950,94,Not Rated,"A potentially violent screenwriter is a murder suspect until his lovely neighbor clears him. However, she soon starts to have her doubts.",Director: Nicholas Ray ," Stars: Humphrey Bogart, Gloria Grahame, Frank Lovejoy, Carl Benton Reid"
Amour,79,Drama,2012,127,PG-13,"Georges and Anne are an octogenarian couple. They are cultivated, retired music teachers. Their daughter, also a musician, lives in Britain with her family. One day, Anne has a stroke, and the couple's bond of love is severely tested.",Director: Michael Haneke ," Stars: Jean-Louis Trintignant, Emmanuelle Riva, Isabelle Huppert, Alexandre Tharaud"
The Sacrifice,79,Drama,1986,149,PG,"At the dawn of World War III, a man searches for a way to restore peace to the world and finds he must give something in return.",Director: Andrei Tarkovsky ," Stars: Erland Josephson, Susan Fleetwood, Allan Edwall, Guðrún Gísladóttir"
Kal Ho Naa Ho,79,Comedy,2003,186,Not Rated,"Naina, an introverted, perpetually depressed girl's life changes when she meets Aman. But Aman has a secret of his own which changes their lives forever. Embroiled in all this is Rohit, Naina's best friend who conceals his love for her.",Director: Nikkhil Advani ," Stars: Preity G Zinta, Shah Rukh Khan, Saif Ali Khan, Jaya Bachchan"
The Conformist,79,Drama,1970,113,R,"A weak-willed Italian man becomes a fascist flunky who goes abroad to arrange the assassination of his old teacher, now a political dissident.",Director: Bernardo Bertolucci ," Stars: Jean-Louis Trintignant, Stefania Sandrelli, Gastone Moschin, Enzo Tarascio"
In Cold Blood,79,Biography,1967,134,R,"Two ex-cons murder a family in a robbery attempt, before going on the run from the authorities. The police try to piece together the details of the murder in an attempt to track down the killers.",Director: Richard Brooks ," Stars: Robert Blake, Scott Wilson, John Forsythe, Paul Stewart"
The Adventures of Robin Hood,79,Action,1938,102,PG,"When Prince John and the Norman Lords begin oppressing the Saxon masses in King Richard's absence in 1190s England, a Saxon lord fights back as the outlaw leader of a resistance movement.","Directors: Michael Curtiz, William Keighley "," Stars: Errol Flynn, Olivia de Havilland, Basil Rathbone, Claude Rains"
Kagemusha,79,Drama,1980,162,PG,A petty thief with an utter resemblance to a samurai warlord is hired as the lord's double. When the warlord later dies the thief is forced to take up arms in his place.,Director: Akira Kurosawa ," Stars: Tatsuya Nakadai, Tsutomu Yamazaki, Ken'ichi Hagiwara, Jinpachi Nezu"
Laura,79,Drama,1944,88,Passed,A police detective falls in love with the woman whose murder he is investigating.,Director: Otto Preminger ," Stars: Gene Tierney, Dana Andrews, Clifton Webb, Vincent Price"
Cléo from 5 to 7,79,Comedy,1962,90,Not Rated,"Cleo, a singer and hypochondriac, becomes increasingly worried that she might have cancer while awaiting test results from her doctor.",Director: Agnès Varda ," Stars: Corinne Marchand, Antoine Bourseiller, Dominique Davray, Dorothée Blanck"
Harvey,79,Comedy,1950,104,Approved,"Due to his insistence that he has an invisible six foot-tall rabbit for a best friend, a whimsical middle-aged man is thought by his family to be insane - but he may be wiser than anyone knows.",Director: Henry Koster ," Stars: James Stewart, Wallace Ford, William H. Lynn, Victoria Horne"
Nostalghia,79,Drama,1983,125,Not Rated,"A Russian poet and his interpreter travel to Italy researching the life of an 18th-century composer, and instead meet a ruminative madman who tells the poet how the world may be saved.",Director: Andrei Tarkovsky ," Stars: Oleg Yankovskiy, Erland Josephson, Domiziana Giordano, Patrizia Terreno"
I Remember,79,Comedy,1973,123,R,A series of comedic and nostalgic vignettes set in a 1930s Italian coastal town.,Director: Federico Fellini ," Stars: Magali Noël, Bruno Zanin, Pupella Maggio, Armando Brancia"
The Thin Man,79,Comedy,1934,91,TV-PG,"Former detective Nick Charles and his wealthy wife Nora investigate a murder case, mostly for the fun of it.",Director: W.S. Van Dyke ," Stars: William Powell, Myrna Loy, Maureen O'Sullivan, Nat Pendleton"
The Big Heat,79,Crime,1953,89,Passed,Tough cop Dave Bannion takes on a politically powerful crime syndicate.,Director: Fritz Lang ," Stars: Glenn Ford, Gloria Grahame, Jocelyn Brando, Alexander Scourby"
Battleship Potemkin,79,Drama,1925,66,Not Rated,"In the midst of the Russian Revolution of 1905, the crew of the battleship Potemkin mutiny against the brutal, tyrannical regime of the vessel's officers. The resulting street demonstration in Odessa brings on a police massacre.",Director: Sergei Eisenstein ," Stars: Aleksandr Antonov, Vladimir Barskiy, Grigoriy Aleksandrov, Ivan Bobrov"
"4 Months, 3 Weeks and 2 Days",79,Drama,2007,113,Not Rated,A woman assists her friend in arranging an illegal abortion in 1980s Romania.,Director: Cristian Mungiu ," Stars: Anamaria Marinca, Laura Vasiliu, Vlad Ivanov, Alexandru Potocean"
Miracle on 34th Street,79,Comedy,1947,96,Not Rated,"After a divorced New York mother hires a nice old man to play Santa Claus at Macy's, she is startled by his claim to be the genuine article. When his sanity is questioned, a lawyer defends him in court by arguing that he's not mistaken.",Director: George Seaton ," Stars: Edmund Gwenn, Maureen O'Hara, John Payne, Gene Lockhart"
Hiroshima Mon Amour,79,Drama,1959,90,Not Rated,A French actress filming an anti-war film in Hiroshima has an affair with a married Japanese architect as they share their differing perspectives on war.,Director: Alain Resnais ," Stars: Emmanuelle Riva, Eiji Okada, Stella Dassas, Pierre Barbaud"
About Elly,79,Drama,2009,119,TV-PG,The mysterious disappearance of a kindergarten teacher during a picnic in the north of Iran is followed by a series of misadventures for her fellow travelers.,Director: Asghar Farhadi ," Stars: Golshifteh Farahani, Shahab Hosseini, Taraneh Alidoosti, Sajjad Dolati"
Gully Boy,79,Drama,2019,154,Not Rated,A coming-of-age story based on the lives of street rappers in Mumbai.,Director: Zoya Akhtar ," Stars: Ranveer Singh, Alia Bhatt, Siddhant Chaturvedi, Vijay Raaz"
Elevator to the Gallows,79,Crime,1958,91,Not Rated,"A self-assured businessman murders his employer, the husband of his mistress, which unintentionally provokes an ill-fated chain of events.",Director: Louis Malle ," Stars: Jeanne Moreau, Maurice Ronet, Georges Poujouly, Yori Bertin"
The Red Circle,79,Crime,1970,140,Not Rated,"After leaving prison, master thief Corey crosses paths with a notorious escapee and an alcoholic former policeman. The trio proceed to plot an elaborate heist.",Director: Jean-Pierre Melville ," Stars: Alain Delon, Bourvil, Gian Maria Volontè, Yves Montand"
Nine Queens,79,Crime,2000,114,R,"Two con artists try to swindle a stamp collector by selling him a sheet of counterfeit rare stamps (the ""nine queens"").",Director: Fabián Bielinsky ," Stars: Ricardo Darín, Gastón Pauls, Graciela Tenenbaum, María Mercedes Villagra"
The Way He Looks,79,Drama,2014,96,Not Rated,"Leonardo is a blind teenager searching for independence. His everyday life, the relationship with his best friend Giovana, and the way he sees the world change completely with the arrival of Gabriel.",Director: Daniel Ribeiro ," Stars: Ghilherme Lobo, Fabio Audi, Tess Amorim, Lúcia Romano"
The Lost Weekend,79,Drama,1945,101,Passed,The desperate life of a chronic alcoholic is followed through a four-day drinking bout.,Director: Billy Wilder ," Stars: Ray Milland, Jane Wyman, Phillip Terry, Howard Da Silva"
No Man's Land,79,Comedy,I 2001,98,R,"Bosnia and Herzegovina during 1993 at the time of the heaviest fighting between the two warring sides. Two soldiers from opposing sides in the conflict, Nino and Ciki, become trapped in no man's land, whilst a third soldier becomes a living booby trap.",Director: Danis Tanovic ," Stars: Branko Djuric, Rene Bitorajac, Filip Sovagovic, Georges Siatidis"
The Return,79,Drama,2003,110,Not Rated,"In the Russian wilderness, two brothers face a range of new, conflicting emotions when their father - a man they know only through a single photograph - resurfaces.",Director: Andrey Zvyagintsev ," Stars: Vladimir Garin, Ivan Dobronravov, Konstantin Lavronenko, Nataliya Vdovina"
Sullivan's Travels,79,Adventure,1941,90,Passed,Hollywood director John L. Sullivan sets out to experience life as a homeless person in order to gain relevant life experience for his next movie.,Director: Preston Sturges ," Stars: Joel McCrea, Veronica Lake, Robert Warwick, William Demarest"
Jab We Met,79,Comedy,2007,138,Not Rated,A depressed wealthy businessman finds his life changing after he meets a spunky and care-free young woman.,Director: Imtiaz Ali ," Stars: Shahid Kapoor, Kareena Kapoor, Tarun Arora, Dara Singh Randhawa"
Beauty and the Beast,79,Drama,1946,93,Not Rated,"A beautiful young woman takes her father's place as the prisoner of a mysterious beast, who wishes to marry her.","Directors: Jean Cocteau, René Clément "," Stars: Jean Marais, Josette Day, Mila Parély, Nane Germon"
The Rules of the Game,79,Comedy,1939,110,Not Rated,"A bourgeois life in France at the onset of World War II, as the rich and their poor servants meet up at a French chateau.",Director: Jean Renoir ," Stars: Marcel Dalio, Nora Gregor, Paulette Dubost, Mila Parély"
Pad Man,79,Comedy,2018,140,PG-13,"Upon realizing the extent to which women are affected by their menses, a man sets out to create a sanitary pad machine and to provide inexpensive sanitary pads to the women of rural India.",Director: R. Balki ," Stars: Akshay Kumar, Radhika Apte, Sonam Kapoor, Jyoti Subhash"
C.R.A.Z.Y.,79,Comedy,2005,129,Not Rated,"A young French Canadian, one of five boys in a conservative family in the 1960s and 1970s, struggles to reconcile his emerging identity with his father's values.",Director: Jean-Marc Vallée ," Stars: Michel Côté, Marc-André Grondin, Danielle Proulx, Émile Vallée"
Airlift,79,Action,2016,130,Not Rated,"When Iraq invades Kuwait in August 1990, a callous Indian businessman becomes the spokesperson for more than 170,000 stranded countrymen.",Director: Raja Menon ," Stars: Akshay Kumar, Nimrat Kaur, Kumud Mishra, Prakash Belawadi"
Through a Glass Darkly,79,Drama,1961,90,Not Rated,"Recently released from a mental hospital, Karin rejoins her emotionally disconnected family in their island home, only to slip from reality as she begins to believe she is being visited by God.",Director: Ingmar Bergman ," Stars: Harriet Andersson, Gunnar Björnstrand, Max von Sydow, Lars Passgård"
Super 30,79,Biography,2019,154,Not Rated,Based on the life of Patna-based mathematician Anand Kumar who runs the famed Super 30 program for IIT aspirants in Patna.,Director: Vikas Bahl ," Stars: Hrithik Roshan, Mrunal Thakur, Nandish Singh Sandhu, Veerendra Saxena"
Baby,79,Action,I 2015,159,Not Rated,"An elite counter-intelligence unit learns of a plot, masterminded by a maniacal madman. With the clock ticking, it's up to them to track the terrorists' international tentacles and prevent them from striking at the heart of India.",Director: Neeraj Pandey ," Stars: Akshay Kumar, Danny Denzongpa, Rana Daggubati, Taapsee Pannu"
Badhaai Ho,79,Comedy,2018,124,Not Rated,A man is embarrassed when he finds out his mother is pregnant.,Director: Amit Ravindernath Sharma ," Stars: Ayushmann Khurrana, Neena Gupta, Gajraj Rao, Sanya Malhotra"
Dev.D,79,Comedy,2009,144,Not Rated,"After breaking up with his childhood sweetheart, a young man finds solace in drugs. Meanwhile, a teenage girl is caught in the world of prostitution. Will they be destroyed, or will they find redemption?",Director: Anurag Kashyap ," Stars: Abhay Deol, Mahie Gill, Kalki Koechlin, Dibyendu Bhattacharya"
The Batman,78,Action,2022,176,PG-13,"When a sadistic serial killer begins murdering key political figures in Gotham, Batman is forced to investigate the city's hidden corruption and question his family's involvement.",Director: Matt Reeves ," Stars: Robert Pattinson, Zoë Kravitz, Jeffrey Wright, Colin Farrell"
John Wick: Chapter 4,78,Action,2023,169,R,"John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.",Director: Chad Stahelski ," Stars: Keanu Reeves, Laurence Fishburne, George Georgiou, Lance Reddick"
Everything Everywhere All at Once,78,Action,2022,139,R,A middle-aged Chinese immigrant is swept up into an insane adventure in which she alone can save existence by exploring other universes and connecting with the lives she could have led.,"Directors: Daniel Kwan, Daniel Scheinert "," Stars: Michelle Yeoh, Stephanie Hsu, Jamie Lee Curtis, Ke Huy Quan"
The Big Short,78,Biography,2015,130,R,"In 2006-2007 a group of investors bet against the United States mortgage market. In their research, they discover how flawed and corrupt the market is.",Director: Adam McKay ," Stars: Christian Bale, Steve Carell, Ryan Gosling, Brad Pitt"
Get Out,78,Horror,I 2017,104,R,"A young African-American visits his White girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point.",Director: Jordan Peele ," Stars: Daniel Kaluuya, Allison Williams, Bradley Whitford, Catherine Keener"
Dunkirk,78,Action,2017,106,PG-13,"Allied soldiers from Belgium, the British Commonwealth and Empire, and France are surrounded by the German Army and evacuated during a fierce battle in World War II.",Director: Christopher Nolan ," Stars: Fionn Whitehead, Barry Keoghan, Mark Rylance, Tom Hardy"
Pride & Prejudice,78,Drama,2005,129,PG,"Sparks fly when spirited Elizabeth Bennet meets single, rich, and proud Mr. Darcy. But Mr. Darcy reluctantly finds himself falling in love with a woman beneath his class. Can each overcome their own pride and prejudice?",Director: Joe Wright ," Stars: Keira Knightley, Matthew Macfadyen, Brenda Blethyn, Donald Sutherland"
The Notebook,78,Drama,2004,123,PG-13,"A poor yet passionate young man falls in love with a rich young woman, giving her a sense of freedom. However, social differences soon get in the way.",Director: Nick Cassavetes ," Stars: Gena Rowlands, James Garner, Rachel McAdams, Ryan Gosling"
Ferris Bueller's Day Off,78,Comedy,1986,103,PG-13,"A popular high school student, admired by his peers, decides to take a day off from school and goes to extreme lengths to pull it off, to the chagrin of his Principal, who'll do anything to stop him.",Director: John Hughes ," Stars: Matthew Broderick, Alan Ruck, Mia Sara, Jeffrey Jones"
The Gentlemen,78,Action,2019,113,R,"An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him.",Director: Guy Ritchie ," Stars: Matthew McConaughey, Charlie Hunnam, Michelle Dockery, Jeremy Strong"
Drive,78,Action,I 2011,100,R,A mysterious Hollywood action film stuntman gets in trouble with gangsters when he tries to help his neighbor's husband rob a pawn shop while serving as his getaway driver.,Director: Nicolas Winding Refn ," Stars: Ryan Gosling, Carey Mulligan, Bryan Cranston, Albert Brooks"
Puss in Boots: The Last Wish,78,Animation,2022,102,PG,"When Puss in Boots discovers that his passion for adventure has taken its toll and he has burned through eight of his nine lives, he launches an epic journey to restore them by finding the mythical Last Wish.","Directors: Joel Crawford, Januel Mercado "," Stars: Antonio Banderas, Salma Hayek, Harvey Guillén, Florence Pugh"
Tombstone,78,Biography,1993,130,R,"A successful lawman's plans to retire anonymously in Tombstone, Arizona are disrupted by the kind of outlaws he was famous for eliminating.","Directors: George P. Cosmatos, Kevin Jarre "," Stars: Kurt Russell, Val Kilmer, Sam Elliott, Bill Paxton"
Ghostbusters,78,Action,1984,105,PG,"Three parapsychologists forced out of their university funding set up shop as a unique ghost removal service in New York City, attracting frightened yet skeptical customers.",Director: Ivan Reitman ," Stars: Bill Murray, Dan Aykroyd, Sigourney Weaver, Harold Ramis"
Little Women,78,Drama,2019,135,PG,"Jo March reflects back and forth on her life, telling the beloved story of the March sisters - four young women, each determined to live life on her own terms.",Director: Greta Gerwig ," Stars: Saoirse Ronan, Emma Watson, Florence Pugh, Eliza Scanlen"
The Breakfast Club,78,Comedy,1985,97,R,Five high school students meet in Saturday detention and discover how they have a great deal more in common than they thought.,Director: John Hughes ," Stars: Emilio Estevez, Judd Nelson, Molly Ringwald, Ally Sheedy"
Rogue One: A Star Wars Story,78,Action,2016,133,PG-13,"In a time of conflict, a group of unlikely heroes band together on a mission to steal the plans to the Death Star, the Empire's ultimate weapon of destruction.",Director: Gareth Edwards ," Stars: Felicity Jones, Diego Luna, Alan Tudyk, Donnie Yen"
The Irishman,78,Biography,2019,209,R,"An illustration of Frank Sheeran's life, from W.W.II veteran to hit-man for the Bufalino crime family and his alleged assassination of his close friend Jimmy Hoffa.",Director: Martin Scorsese ," Stars: Robert De Niro, Al Pacino, Joe Pesci, Harvey Keitel"
Apocalypto,78,Action,2006,139,R,"As the Mayan kingdom faces its decline, a young man is taken on a perilous journey to a world ruled by fear and oppression.",Director: Mel Gibson ," Stars: Gerardo Taracena, Raoul Max Trujillo, Dalia Hernández, Rudy Youngblood"
All Quiet on the Western Front,78,Action,2022,148,R,A young German soldier's terrifying experiences and distress on the western front during World War I.,Director: Edward Berger ," Stars: Felix Kammerer, Albrecht Schuch, Aaron Hilmer, Moritz Klaus"
